League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Att,Live_Pass_Types,Dead_Pass_Types,FK_Pass_Types,TB_Pass_Types,Sw_Pass_Types,Crs_Pass_Types,TI_Pass_Types,CK_Pass_Types,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes
Championnat de France de Football Féminin,2023-10-08,Championnat de France de Football Féminin (Regular season),Lyon,4-3-3,4,3,Melchie Dumornay · 24&rsquor; Kadidiatou Diani · 26&rsquor; Ada Hegerberg · 77&rsquor; Wendie Renard (P) · 85&rsquor;,1,0,Bordeaux,4-3-3,0,0.1,NA,0,0,Bordeaux,Away,NA,990,284,235,49,8,0,0,8,20,0,0,0,0,161,0,12
Championnat de France de Football Féminin,2023-10-13,Championnat de France de Football Féminin (Regular season),Bordeaux,4-3-3,1,1.2,Andréa Lardez (P) · 52&rsquor;,3,0,Montpellier,4-2-3-1,1,1.2,Lea Khelifi · 60&rsquor;,1,0,Bordeaux,Home,NA,990,325,266,57,14,0,2,12,27,3,3,0,0,184,2,9
Championnat de France de Football Féminin,2023-10-13,Championnat de France de Football Féminin (Regular season),Bordeaux,4-3-3,1,1.2,Andréa Lardez (P) · 52&rsquor;,3,0,Montpellier,4-2-3-1,1,1.2,Lea Khelifi · 60&rsquor;,1,0,Montpellier,Away,NA,990,479,418,58,13,0,2,25,28,6,4,2,0,331,3,15
Championnat de France de Football Féminin,2023-10-14,Championnat de France de Football Féminin (Regular season),Paris FC,4-2-3-1,2,2,Gaëtane Thiney (P) · 69&rsquor; Julie Dufour · 89&rsquor;,0,0,Guingamp,4-4-2,0,0.1,NA,2,0,Paris FC,Home,NA,990,503,444,58,10,1,0,30,40,8,8,0,0,389,1,7
Championnat de France de Football Féminin,2023-10-14,Championnat de France de Football Féminin (Regular season),Paris FC,4-2-3-1,2,2,Gaëtane Thiney (P) · 69&rsquor; Julie Dufour · 89&rsquor;,0,0,Guingamp,4-4-2,0,0.1,NA,2,0,Guingamp,Away,NA,990,305,246,57,10,0,2,4,29,0,0,0,0,204,2,8
Championnat de France de Football Féminin,2023-10-14,Championnat de France de Football Féminin (Regular season),Le Havre,4-2-3-1,2,3.1,Chanelle Tchaptchet · 90+2&rsquor; Nesryne El Chad (OG) · 90+8&rsquor;,3,0,Lille,4-2-3-1,2,0.9,Lorena Azzaro · 7&rsquor; Nesryne El Chad · 24&rsquor; Naomie Bamenga · 45+2&rsquor;,3,1,Le Havre,Home,NA,990,512,461,50,8,1,0,39,32,4,2,2,0,369,1,7
Championnat de France de Football Féminin,2023-10-14,Championnat de France de Football Féminin (Regular season),Le Havre,4-2-3-1,2,3.1,Chanelle Tchaptchet · 90+2&rsquor; Nesryne El Chad (OG) · 90+8&rsquor;,3,0,Lille,4-2-3-1,2,0.9,Lorena Azzaro · 7&rsquor; Nesryne El Chad · 24&rsquor; Naomie Bamenga · 45+2&rsquor;,3,1,Lille,Away,NA,944,366,305,60,15,1,0,11,26,3,0,0,3,223,1,14
Championnat de France de Football Féminin,2023-10-14,Championnat de France de Football Féminin (Regular season),Fleury,4-2-3-1,2,1.4,Dominika Grabowska · 63&rsquor; Ewelina Kamczyk · 70&rsquor;,1,0,Dijon,4-2-3-1,1,1.3,Sarah Jankovska · 42&rsquor;,2,0,Fleury,Home,NA,990,467,413,53,15,0,0,18,32,2,1,0,0,334,1,12
Championnat de France de Football Féminin,2023-10-14,Championnat de France de Football Féminin (Regular season),Fleury,4-2-3-1,2,1.4,Dominika Grabowska · 63&rsquor; Ewelina Kamczyk · 70&rsquor;,1,0,Dijon,4-2-3-1,1,1.3,Sarah Jankovska · 42&rsquor;,2,0,Dijon,Away,NA,990,420,363,57,9,0,0,17,25,8,8,0,0,282,0,13
Championnat de France de Football Féminin,2023-10-14,Championnat de France de Football Féminin (Regular season),Lyon,4-3-3,6,3.5,Vanessa Gilles · 15&rsquor; Eugénie Le Sommer · 16&rsquor; Lindsey Heaps · 23&rsquor; Eugénie Le Sommer · 26&rsquor; Lindsey Heaps · 79&rsquor; Lindsey Heaps · 85&rsquor;,3,0,Saint-Étienne,4-2-3-1,0,0.1,Faustine Bataillard · 90&rsquor;,4,1,Lyon,Home,NA,990,629,576,48,17,2,2,29,21,8,6,1,0,522,5,7
Championnat de France de Football Féminin,2023-10-14,Championnat de France de Football Féminin (Regular season),Lyon,4-3-3,6,3.5,Vanessa Gilles · 15&rsquor; Eugénie Le Sommer · 16&rsquor; Lindsey Heaps · 23&rsquor; Eugénie Le Sommer · 26&rsquor; Lindsey Heaps · 79&rsquor; Lindsey Heaps · 85&rsquor;,3,0,Saint-Étienne,4-2-3-1,0,0.1,Faustine Bataillard · 90&rsquor;,4,1,Saint-Étienne,Away,NA,989,266,214,51,12,0,0,6,19,2,2,0,0,162,1,5
Championnat de France de Football Féminin,2023-10-20,Championnat de France de Football Féminin (Regular season),Montpellier,4-2-3-1,1,0.8,Faustine Robert · 52&rsquor;,3,0,Fleury,4-2-3-1,1,1.3,Marine Dafeur (P) · 90+5&rsquor;,1,0,Montpellier,Home,NA,990,438,374,64,8,0,4,26,37,9,5,4,0,296,0,16
Championnat de France de Football Féminin,2023-10-20,Championnat de France de Football Féminin (Regular season),Montpellier,4-2-3-1,1,0.8,Faustine Robert · 52&rsquor;,3,0,Fleury,4-2-3-1,1,1.3,Marine Dafeur (P) · 90+5&rsquor;,1,0,Fleury,Away,NA,990,441,382,59,15,0,0,18,32,1,1,0,0,308,0,15
Championnat de France de Football Féminin,2023-10-21,Championnat de France de Football Féminin (Regular season),Guingamp,4-4-2,1,0.9,Leila Peneau · 62&rsquor; Aissata Traoré · 76&rsquor;,4,1,Bordeaux,4-3-3,0,0.7,NA,3,0,Guingamp,Home,NA,975,405,339,64,9,0,1,13,44,3,1,1,0,272,2,4
Championnat de France de Football Féminin,2023-10-21,Championnat de France de Football Féminin (Regular season),Guingamp,4-4-2,1,0.9,Leila Peneau · 62&rsquor; Aissata Traoré · 76&rsquor;,4,1,Bordeaux,4-3-3,0,0.7,NA,3,0,Bordeaux,Away,NA,990,386,325,61,16,0,2,15,29,7,4,2,0,242,0,4
Championnat de France de Football Féminin,2023-10-21,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-3-3,1,1.1,Phornetia Browne · 14&rsquor;,1,0,Le Havre,4-3-3,2,1.5,Nadjma Ali Nadjim · 69&rsquor; Chancelle Effa Effa · 76&rsquor;,0,0,Saint-Étienne,Home,NA,990,342,288,51,14,0,2,10,18,4,0,0,4,216,3,6
Championnat de France de Football Féminin,2023-10-21,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-3-3,1,1.1,Phornetia Browne · 14&rsquor;,1,0,Le Havre,4-3-3,2,1.5,Nadjma Ali Nadjim · 69&rsquor; Chancelle Effa Effa · 76&rsquor;,0,0,Le Havre,Away,NA,990,493,435,54,29,1,6,11,18,5,1,0,1,369,4,4
Championnat de France de Football Féminin,2023-10-21,Championnat de France de Football Féminin (Regular season),Lille,4-2-3-1,0,0.2,NA,1,0,Paris Saint-Germain,4-3-3,4,0.8,Marie-Antoinette Katoto · 12&rsquor; Tabitha Chawinga · 25&rsquor; Sandy Baltimore · 45+1&rsquor; Amalie Vangsgaard · 90+2&rsquor;,2,0,Lille,Home,NA,990,283,234,47,11,0,0,7,20,3,2,0,0,186,2,6
Championnat de France de Football Féminin,2023-10-21,Championnat de France de Football Féminin (Regular season),Lille,4-2-3-1,0,0.2,NA,1,0,Paris Saint-Germain,4-3-3,4,0.8,Marie-Antoinette Katoto · 12&rsquor; Tabitha Chawinga · 25&rsquor; Sandy Baltimore · 45+1&rsquor; Amalie Vangsgaard · 90+2&rsquor;,2,0,Paris Saint-Germain,Away,NA,990,627,579,46,11,1,3,9,28,4,0,0,3,535,2,3
Championnat de France de Football Féminin,2023-10-22,Championnat de France de Football Féminin (Regular season),Dijon,4-3-3,0,0.4,NA,0,0,Paris FC,4-3-3,6,1.8,Mathilde Bourdieu · 5&rsquor; Daphne Corboz · 30&rsquor; Gaëtane Thiney · 36&rsquor; Julie Dufour · 38&rsquor; Margaux Le Mouël · 54&rsquor; Louna Ribadeira · 79&rsquor;,0,0,Dijon,Home,NA,990,386,328,56,10,0,0,10,29,2,2,0,0,255,2,9
Championnat de France de Football Féminin,2023-10-22,Championnat de France de Football Féminin (Regular season),Dijon,4-3-3,0,0.4,NA,0,0,Paris FC,4-3-3,6,1.8,Mathilde Bourdieu · 5&rsquor; Daphne Corboz · 30&rsquor; Gaëtane Thiney · 36&rsquor; Julie Dufour · 38&rsquor; Margaux Le Mouël · 54&rsquor; Louna Ribadeira · 79&rsquor;,0,0,Paris FC,Away,NA,990,524,479,43,11,1,0,22,20,7,2,4,0,397,2,8
Championnat de France de Football Féminin,2023-10-22,Championnat de France de Football Féminin (Regular season),Stade de Reims,5-4-1,1,1,Rofiat Imuran · 27&rsquor;,0,0,Lyon,4-3-3,5,3.5,Alice Sombath · 20&rsquor; Eugénie Le Sommer · 43&rsquor; Melchie Dumornay · 45+1&rsquor; Lindsey Heaps · 87&rsquor; Amel Majri · 89&rsquor;,0,0,Stade de Reims,Home,NA,990,274,206,67,13,1,1,5,24,3,0,0,3,173,1,10
Championnat de France de Football Féminin,2023-10-22,Championnat de France de Football Féminin (Regular season),Stade de Reims,5-4-1,1,1,Rofiat Imuran · 27&rsquor;,0,0,Lyon,4-3-3,5,3.5,Alice Sombath · 20&rsquor; Eugénie Le Sommer · 43&rsquor; Melchie Dumornay · 45+1&rsquor; Lindsey Heaps · 87&rsquor; Amel Majri · 89&rsquor;,0,0,Lyon,Away,NA,990,578,538,40,11,2,2,39,15,6,5,0,0,491,0,5
Championnat de France de Football Féminin,2023-11-03,Championnat de France de Football Féminin (Regular season),Lille,4-2-3-1,0,0.6,NA,1,0,Montpellier,4-2-3-1,0,1,NA,3,0,Lille,Home,NA,990,375,314,60,14,1,2,14,28,3,0,0,2,244,1,12
Championnat de France de Football Féminin,2023-11-03,Championnat de France de Football Féminin (Regular season),Lille,4-2-3-1,0,0.6,NA,1,0,Montpellier,4-2-3-1,0,1,NA,3,0,Montpellier,Away,NA,990,464,401,59,11,1,0,17,34,2,2,0,0,339,4,8
Championnat de France de Football Féminin,2023-11-04,Championnat de France de Football Féminin (Regular season),Bordeaux,4-3-3,0,1.1,NA,2,0,Stade de Reims,4-3-3,2,1.5,Mélissa Gomes · 61&rsquor; Noémie Mouchon · 90+1&rsquor;,1,0,Bordeaux,Home,NA,990,381,310,70,11,1,0,19,37,6,5,1,0,229,1,9
Championnat de France de Football Féminin,2023-11-04,Championnat de France de Football Féminin (Regular season),Bordeaux,4-3-3,0,1.1,NA,2,0,Stade de Reims,4-3-3,2,1.5,Mélissa Gomes · 61&rsquor; Noémie Mouchon · 90+1&rsquor;,1,0,Stade de Reims,Away,NA,990,314,225,88,15,0,0,10,55,5,3,2,0,172,1,5
Championnat de France de Football Féminin,2023-11-04,Championnat de France de Football Féminin (Regular season),Fleury,4-2-3-1,2,2.5,Batcheba Louis · 2&rsquor; Charlotte Fernandes · 71&rsquor;,3,0,Saint-Étienne,4-3-3,1,0.7,Solene Champagnac · 87&rsquor;,0,0,Fleury,Home,NA,990,385,335,45,15,0,2,14,18,5,1,1,0,230,5,9
Championnat de France de Football Féminin,2023-11-04,Championnat de France de Football Féminin (Regular season),Fleury,4-2-3-1,2,2.5,Batcheba Louis · 2&rsquor; Charlotte Fernandes · 71&rsquor;,3,0,Saint-Étienne,4-3-3,1,0.7,Solene Champagnac · 87&rsquor;,0,0,Saint-Étienne,Away,NA,990,448,381,67,20,0,5,13,36,3,0,0,3,297,0,12
Championnat de France de Football Féminin,2023-11-04,Championnat de France de Football Féminin (Regular season),Le Havre,4-3-3,3,1.8,Laurie Cance · 27&rsquor; Salomé Elisor · 37&rsquor; Mickaélla Cardia · 82&rsquor;,0,0,Dijon,4-3-3,3,2.2,Latifah Abdu · 60&rsquor; Léa Declercq (P) · 74&rsquor; Océane Picard · 90+2&rsquor;,0,0,Le Havre,Home,NA,990,627,580,47,9,0,9,18,25,5,3,2,0,507,0,11
Championnat de France de Football Féminin,2023-11-04,Championnat de France de Football Féminin (Regular season),Le Havre,4-3-3,3,1.8,Laurie Cance · 27&rsquor; Salomé Elisor · 37&rsquor; Mickaélla Cardia · 82&rsquor;,0,0,Dijon,4-3-3,3,2.2,Latifah Abdu · 60&rsquor; Léa Declercq (P) · 74&rsquor; Océane Picard · 90+2&rsquor;,0,0,Dijon,Away,NA,990,323,279,42,11,1,0,7,22,1,1,0,0,227,2,6
