League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG_Expected,npxG_Expected,xAG_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp_percent_Passes,PrgP_Passes,Carries_Carries,PrgC_Carries,Att_Take_Ons,Succ_Take_Ons,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon
Frauen-Bundesliga,2023-10-08,Frauen-Bundesliga (Matchweek 3),SGS Essen,4-2-3-1,0.0,0.2,,1,0,Bayern München,4-2-3-1,2.0,1.8,Pernille Harder · 13&rsquor; Lea Schüller · 24&rsquor;,4,0,SGS Essen,Home,,990.0,0,0,0,0,5,3,1,0,472.0,29.0,11,19.0,0.2,0.2,0.1,7.0,0.0,255.0,355.0,71.8,18.0,197.0,8.0,10.0,7.0,,,,,,,,
Frauen-Bundesliga,2023-10-08,Frauen-Bundesliga (Matchweek 3),SGS Essen,4-2-3-1,0.0,0.2,,1,0,Bayern München,4-2-3-1,2.0,1.8,Pernille Harder · 13&rsquor; Lea Schüller · 24&rsquor;,4,0,Bayern München,Away,,990.0,2,2,0,0,14,6,4,0,825.0,27.0,10,13.0,1.8,1.8,1.8,22.0,4.0,632.0,734.0,86.1,74.0,448.0,11.0,21.0,9.0,,,,,,,,
Frauen-Bundesliga,2023-10-08,Frauen-Bundesliga (Matchweek 3),Freiburg,4-2-3-1,2.0,0.6,Hanna Németh (OG) · 61&rsquor; Svenja Fölmli · 67&rsquor;,1,0,Werder Bremen,3-5-2,1.0,0.6,Sophie Weidauer · 25&rsquor;,3,0,Freiburg,Home,,990.0,1,1,0,0,14,4,1,0,528.0,24.0,13,13.0,0.6,0.6,0.5,23.0,2.0,277.0,409.0,67.7,24.0,215.0,12.0,14.0,8.0,,,,,,,,
Frauen-Bundesliga,2023-10-08,Frauen-Bundesliga (Matchweek 3),Freiburg,4-2-3-1,2.0,0.6,Hanna Németh (OG) · 61&rsquor; Svenja Fölmli · 67&rsquor;,1,0,Werder Bremen,3-5-2,1.0,0.6,Sophie Weidauer · 25&rsquor;,3,0,Werder Bremen,Away,,990.0,1,0,0,0,17,4,3,0,457.0,12.0,10,16.0,0.6,0.6,0.3,22.0,1.0,217.0,357.0,60.8,22.0,226.0,12.0,13.0,5.0,,,,,,,,
Frauen-Bundesliga,2023-10-09,Frauen-Bundesliga (Matchweek 3),TSG 1899 Hoffenheim,4-3-3,2.0,2.3,Mara Alber · 74&rsquor; Ereleta Memeti · 78&rsquor;,1,0,Bayer Leverkusen,3-5-2,2.0,1.8,Karólína Lea Vilhjálmsdóttir · 34&rsquor; Kristin Kögel · 62&rsquor;,0,0,TSG 1899 Hoffenheim,Home,,990.0,2,1,0,0,19,3,1,0,755.0,16.0,8,11.0,2.4,2.4,1.9,33.0,4.0,490.0,615.0,79.7,61.0,375.0,23.0,32.0,12.0,,,,,,,,
Frauen-Bundesliga,2023-10-09,Frauen-Bundesliga (Matchweek 3),TSG 1899 Hoffenheim,4-3-3,2.0,2.3,Mara Alber · 74&rsquor; Ereleta Memeti · 78&rsquor;,1,0,Bayer Leverkusen,3-5-2,2.0,1.8,Karólína Lea Vilhjálmsdóttir · 34&rsquor; Kristin Kögel · 62&rsquor;,0,0,Bayer Leverkusen,Away,,990.0,2,1,0,1,13,5,0,0,504.0,43.0,7,16.0,1.9,1.0,0.7,20.0,4.0,221.0,341.0,64.8,22.0,234.0,11.0,29.0,20.0,,,,,,,,
Frauen-Bundesliga,2023-10-13,Frauen-Bundesliga (Matchweek 4),1. FC Nürnberg,3-4-1-2,0.0,0.2,,2,0,TSG 1899 Hoffenheim,4-3-3,3.0,3.2,Jill Janssens · 24&rsquor; Jana Feldkamp (P) · 42&rsquor; Gia Corley · 72&rsquor;,0,0,1. FC Nürnberg,Home,,990.0,0,0,0,0,5,1,2,0,478.0,14.0,11,19.0,0.2,0.2,0.0,8.0,0.0,231.0,366.0,63.1,16.0,224.0,6.0,13.0,10.0,,,,,,,,
Frauen-Bundesliga,2023-10-13,Frauen-Bundesliga (Matchweek 4),1. FC Nürnberg,3-4-1-2,0.0,0.2,,2,0,TSG 1899 Hoffenheim,4-3-3,3.0,3.2,Jill Janssens · 24&rsquor; Jana Feldkamp (P) · 42&rsquor; Gia Corley · 72&rsquor;,0,0,TSG 1899 Hoffenheim,Away,,990.0,3,2,1,1,22,8,0,0,656.0,6.0,11,9.0,3.2,2.4,2.2,38.0,6.0,422.0,545.0,77.4,55.0,277.0,40.0,37.0,27.0,,,,,,,,
Frauen-Bundesliga,2023-10-14,Frauen-Bundesliga (Matchweek 4),Werder Bremen,3-5-2,3.0,1.6,Celina Degen (OG) · 32&rsquor; Lina Hausicke · 83&rsquor; Melina Kunkel · 90+3&rsquor;,0,0,FC Köln,4-2-3-1,0.0,0.2,,1,0,Werder Bremen,Home,,990.0,2,1,0,0,14,6,0,0,565.0,17.0,14,17.0,1.6,1.6,1.0,20.0,4.0,273.0,423.0,64.5,27.0,208.0,15.0,22.0,6.0,,,,,,,,
Frauen-Bundesliga,2023-10-14,Frauen-Bundesliga (Matchweek 4),Werder Bremen,3-5-2,3.0,1.6,Celina Degen (OG) · 32&rsquor; Lina Hausicke · 83&rsquor; Melina Kunkel · 90+3&rsquor;,0,0,FC Köln,4-2-3-1,0.0,0.2,,1,0,FC Köln,Away,,990.0,0,0,0,0,3,1,1,0,500.0,20.0,11,8.0,0.2,0.2,0.2,5.0,0.0,236.0,390.0,60.5,21.0,225.0,2.0,15.0,10.0,,,,,,,,
Frauen-Bundesliga,2023-10-14,Frauen-Bundesliga (Matchweek 4),Bayern München,4-2-3-1,0.0,0.7,,0,0,Eintracht Frankfurt,4-3-3,0.0,0.3,,1,0,Bayern München,Home,,990.0,0,0,0,0,14,6,0,0,706.0,21.0,10,11.0,0.7,0.7,0.6,26.0,0.0,495.0,597.0,82.9,43.0,287.0,15.0,12.0,1.0,,,,,,,,
Frauen-Bundesliga,2023-10-14,Frauen-Bundesliga (Matchweek 4),Bayern München,4-2-3-1,0.0,0.7,,0,0,Eintracht Frankfurt,4-3-3,0.0,0.3,,1,0,Eintracht Frankfurt,Away,,990.0,0,0,0,0,7,2,1,0,531.0,22.0,5,13.0,0.3,0.3,0.2,12.0,0.0,328.0,440.0,74.5,27.0,326.0,9.0,16.0,10.0,,,,,,,,
Frauen-Bundesliga,2023-10-15,Frauen-Bundesliga (Matchweek 4),RB Leipzig,4-1-2-1-2,0.0,0.9,,0,0,VfL Wolfsburg,4-3-3,2.0,1.7,Ewa Pajor · 38&rsquor; Vivien Endemann · 79&rsquor;,0,0,RB Leipzig,Home,,990.0,0,0,0,0,9,3,0,0,531.0,15.0,32,24.0,0.9,0.9,0.7,10.0,0.0,258.0,398.0,64.8,23.0,176.0,8.0,6.0,1.0,,,,,,,,
Frauen-Bundesliga,2023-10-15,Frauen-Bundesliga (Matchweek 4),RB Leipzig,4-1-2-1-2,0.0,0.9,,0,0,VfL Wolfsburg,4-3-3,2.0,1.7,Ewa Pajor · 38&rsquor; Vivien Endemann · 79&rsquor;,0,0,VfL Wolfsburg,Away,,990.0,2,2,0,0,10,5,0,0,709.0,15.0,14,12.0,1.8,1.8,1.4,15.0,3.0,442.0,612.0,72.2,40.0,390.0,17.0,21.0,11.0,,,,,,,,
Frauen-Bundesliga,2023-10-15,Frauen-Bundesliga (Matchweek 4),Bayer Leverkusen,4-2-3-1,3.0,0.9,Nikola Karczewska · 32&rsquor; Kristin Kögel · 45+1&rsquor; Karólína Lea Vilhjálmsdóttir · 60&rsquor;,2,0,Freiburg,4-2-3-1,0.0,0.7,,1,0,Bayer Leverkusen,Home,,990.0,3,2,0,0,11,6,2,0,625.0,15.0,24,13.0,0.9,0.9,0.7,17.0,4.0,351.0,482.0,72.8,41.0,280.0,11.0,17.0,9.0,,,,,,,,
Frauen-Bundesliga,2023-10-15,Frauen-Bundesliga (Matchweek 4),Bayer Leverkusen,4-2-3-1,3.0,0.9,Nikola Karczewska · 32&rsquor; Kristin Kögel · 45+1&rsquor; Karólína Lea Vilhjálmsdóttir · 60&rsquor;,2,0,Freiburg,4-2-3-1,0.0,0.7,,1,0,Freiburg,Away,,990.0,0,0,0,0,8,2,1,0,672.0,25.0,16,19.0,0.7,0.7,0.4,13.0,0.0,394.0,529.0,74.5,30.0,349.0,15.0,12.0,7.0,,,,,,,,
