League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Att,Live_Pass_Types,Dead_Pass_Types,FK_Pass_Types,TB_Pass_Types,Sw_Pass_Types,Crs_Pass_Types,TI_Pass_Types,CK_Pass_Types,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes
Frauen-Bundesliga,2023-11-04,Frauen-Bundesliga (Matchweek 6),Hoffenheim,4-3-3,2,1.4,Nicole Billa · 60&rsquor; Ereleta Memeti · 90+3&rsquor;,0,0,Freiburg,4-2-3-1,3,1.2,Svenja Fölmli · 14&rsquor; Hasret Kayikci · 47&rsquor; Cora Zical · 82&rsquor;,2,0,Hoffenheim,Home,NA,990,582,513,69,15,0,1,17,36,7,1,4,0,443,0,14
Frauen-Bundesliga,2023-11-04,Frauen-Bundesliga (Matchweek 6),Hoffenheim,4-3-3,2,1.4,Nicole Billa · 60&rsquor; Ereleta Memeti · 90+3&rsquor;,0,0,Freiburg,4-2-3-1,3,1.2,Svenja Fölmli · 14&rsquor; Hasret Kayikci · 47&rsquor; Cora Zical · 82&rsquor;,2,0,Freiburg,Away,NA,990,434,383,47,4,2,0,16,30,2,0,1,0,285,4,16
Frauen-Bundesliga,2023-11-04,Frauen-Bundesliga (Matchweek 6),Bayer Leverkusen,4-2-3-1,0,0.5,NA,1,0,Essen,4-3-3,0,1.2,NA,2,0,Bayer Leverkusen,Home,NA,990,504,432,72,21,1,1,6,39,0,0,0,0,365,0,21
Frauen-Bundesliga,2023-11-04,Frauen-Bundesliga (Matchweek 6),Bayer Leverkusen,4-2-3-1,0,0.5,NA,1,0,Essen,4-3-3,0,1.2,NA,2,0,Essen,Away,NA,990,348,284,60,13,0,0,24,36,3,2,1,0,214,4,5
Frauen-Bundesliga,2023-11-05,Frauen-Bundesliga (Matchweek 6),Bayern Munich,4-2-3-1,2,2.1,Linda Dallmann · 29&rsquor; Klara Bühl · 37&rsquor;,2,0,Wolfsburg,4-2-3-1,1,0.6,Lena Oberdorf · 63&rsquor;,6,0,Bayern Munich,Home,NA,990,394,319,73,24,0,3,18,30,10,8,0,0,269,2,12
Frauen-Bundesliga,2023-11-05,Frauen-Bundesliga (Matchweek 6),Bayern Munich,4-2-3-1,2,2.1,Linda Dallmann · 29&rsquor; Klara Bühl · 37&rsquor;,2,0,Wolfsburg,4-2-3-1,1,0.6,Lena Oberdorf · 63&rsquor;,6,0,Wolfsburg,Away,NA,990,424,368,52,10,0,5,8,28,1,1,0,0,284,4,14
Frauen-Bundesliga,2023-11-05,Frauen-Bundesliga (Matchweek 6),1. FC Nürnberg,3-4-1-2,1,0.4,Vanessa Haim · 81&rsquor;,1,0,Köln,4-2-3-1,3,2.8,Dóra Zeller · 5&rsquor; Marleen Schimmer · 67&rsquor; Sharon Beck · 72&rsquor;,1,0,1. FC Nürnberg,Home,NA,990,409,338,70,15,0,0,7,32,2,1,0,0,297,1,6
Frauen-Bundesliga,2023-11-05,Frauen-Bundesliga (Matchweek 6),1. FC Nürnberg,3-4-1-2,1,0.4,Vanessa Haim · 81&rsquor;,1,0,Köln,4-2-3-1,3,2.8,Dóra Zeller · 5&rsquor; Marleen Schimmer · 67&rsquor; Sharon Beck · 72&rsquor;,1,0,Köln,Away,NA,990,413,349,63,12,1,2,28,36,9,5,0,0,286,1,16
Frauen-Bundesliga,2023-11-06,Frauen-Bundesliga (Matchweek 6),Werder Bremen,5-3-2,0,0.2,NA,4,0,Eintracht Frankfurt,4-1-3-2,1,1.6,Nicole Anyomi · 26&rsquor;,0,0,Werder Bremen,Home,NA,990,375,308,66,11,0,5,14,40,5,1,0,4,265,1,12
Frauen-Bundesliga,2023-11-06,Frauen-Bundesliga (Matchweek 6),Werder Bremen,5-3-2,0,0.2,NA,4,0,Eintracht Frankfurt,4-1-3-2,1,1.6,Nicole Anyomi · 26&rsquor;,0,0,Eintracht Frankfurt,Away,NA,990,552,477,72,14,1,3,5,47,2,0,0,0,430,3,15
