League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won_Aerial_Duels,Lost_Aerial_Duels,Won_percent_Aerial_Duels
Championnat de France de Football Féminin,2023-10-20,Championnat de France de Football Féminin (Regular season),Montpellier,4-2-3-1,1,0.8,Faustine Robert · 52&rsquor;,3,0,Fleury,4-2-3-1,1,1.3,Marine Dafeur (P) · 90+5&rsquor;,1,0,Fleury,Away,NA,990,1,0,0,8,14,0,18,3,9,1,0,0,66,5,6,45.5
Championnat de France de Football Féminin,2023-10-21,Championnat de France de Football Féminin (Regular season),Guingamp,4-4-2,1,0.9,Leila Peneau · 62&rsquor; Aissata Traoré · 76&rsquor;,4,1,Bordeaux,4-3-3,0,0.7,NA,3,0,Guingamp,Home,NA,975,3,1,1,14,11,2,13,14,8,0,0,0,51,5,11,31.3
Championnat de France de Football Féminin,2023-10-21,Championnat de France de Football Féminin (Regular season),Guingamp,4-4-2,1,0.9,Leila Peneau · 62&rsquor; Aissata Traoré · 76&rsquor;,4,1,Bordeaux,4-3-3,0,0.7,NA,3,0,Bordeaux,Away,NA,990,3,0,0,11,14,0,15,10,11,0,0,0,63,11,5,68.8
Championnat de France de Football Féminin,2023-10-21,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-3-3,1,1.1,Phornetia Browne · 14&rsquor;,1,0,Le Havre,4-3-3,2,1.5,Nadjma Ali Nadjim · 69&rsquor; Chancelle Effa Effa · 76&rsquor;,0,0,Saint-Étienne,Home,NA,990,1,0,0,23,9,3,10,6,10,0,0,0,55,3,2,60
Championnat de France de Football Féminin,2023-10-21,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-3-3,1,1.1,Phornetia Browne · 14&rsquor;,1,0,Le Havre,4-3-3,2,1.5,Nadjma Ali Nadjim · 69&rsquor; Chancelle Effa Effa · 76&rsquor;,0,0,Le Havre,Away,NA,990,0,0,0,10,22,4,11,4,15,0,0,0,62,2,3,40
Championnat de France de Football Féminin,2023-10-21,Championnat de France de Football Féminin (Regular season),Lille,4-2-3-1,0,0.2,NA,1,0,Paris Saint-Germain,4-3-3,4,0.8,Marie-Antoinette Katoto · 12&rsquor; Tabitha Chawinga · 25&rsquor; Sandy Baltimore · 45+1&rsquor; Amalie Vangsgaard · 90+2&rsquor;,2,0,Lille,Home,NA,990,1,0,0,10,11,2,7,11,18,0,0,0,52,0,1,0
Championnat de France de Football Féminin,2023-10-21,Championnat de France de Football Féminin (Regular season),Lille,4-2-3-1,0,0.2,NA,1,0,Paris Saint-Germain,4-3-3,4,0.8,Marie-Antoinette Katoto · 12&rsquor; Tabitha Chawinga · 25&rsquor; Sandy Baltimore · 45+1&rsquor; Amalie Vangsgaard · 90+2&rsquor;,2,0,Paris Saint-Germain,Away,NA,990,2,0,0,11,10,2,9,7,14,0,0,0,59,1,0,100
Championnat de France de Football Féminin,2023-10-22,Championnat de France de Football Féminin (Regular season),Dijon,4-3-3,0,0.4,NA,0,0,Paris FC,4-3-3,6,1.8,Mathilde Bourdieu · 5&rsquor; Daphne Corboz · 30&rsquor; Gaëtane Thiney · 36&rsquor; Julie Dufour · 38&rsquor; Margaux Le Mouël · 54&rsquor; Louna Ribadeira · 79&rsquor;,0,0,Dijon,Home,NA,990,0,0,0,9,8,2,10,14,13,0,0,0,66,3,8,27.3
Championnat de France de Football Féminin,2023-10-22,Championnat de France de Football Féminin (Regular season),Dijon,4-3-3,0,0.4,NA,0,0,Paris FC,4-3-3,6,1.8,Mathilde Bourdieu · 5&rsquor; Daphne Corboz · 30&rsquor; Gaëtane Thiney · 36&rsquor; Julie Dufour · 38&rsquor; Margaux Le Mouël · 54&rsquor; Louna Ribadeira · 79&rsquor;,0,0,Paris FC,Away,NA,990,0,0,0,8,9,2,22,24,7,0,0,0,73,8,3,72.7
Championnat de France de Football Féminin,2023-10-22,Championnat de France de Football Féminin (Regular season),Stade de Reims,5-4-1,1,1,Rofiat Imuran · 27&rsquor;,0,0,Lyon,4-3-3,5,3.5,Alice Sombath · 20&rsquor; Eugénie Le Sommer · 43&rsquor; Melchie Dumornay · 45+1&rsquor; Lindsey Heaps · 87&rsquor; Amel Majri · 89&rsquor;,0,0,Stade de Reims,Home,NA,990,0,0,0,12,13,1,5,16,12,0,0,0,47,2,10,16.7
