League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,Ast,xAG,xA,KP,Final_Third,PPA,CrsPA,PrgP
Frauen-Bundesliga,2023-10-02,Frauen-Bundesliga (Matchweek 2),Bayern Munich,4-2-3-1,2,1.6,Pernille Harder · 45&rsquor; Linda Dallmann · 57&rsquor;,1,0,Köln,4-2-3-1,0,0.3,NA,4,0,Bayern Munich,Home,NA,990,572,701,81.6,11430,3539,169,197,85.8,333,372,89.5,65,108,60.2,2,1.5,1.6,14,57,12,4,60
Frauen-Bundesliga,2023-10-02,Frauen-Bundesliga (Matchweek 2),Bayern Munich,4-2-3-1,2,1.6,Pernille Harder · 45&rsquor; Linda Dallmann · 57&rsquor;,1,0,Köln,4-2-3-1,0,0.3,NA,4,0,Köln,Away,NA,990,166,280,59.3,3180,1488,57,79,72.2,73,106,68.9,28,70,40,0,0.1,0.1,2,12,1,1,19
Frauen-Bundesliga,2023-10-06,Frauen-Bundesliga (Matchweek 3),Wolfsburg,4-2-3-1,1,1.5,Fenna Kalma · 12&rsquor;,0,0,1. FC Nürnberg,3-4-1-2,0,0.3,NA,2,0,Wolfsburg,Home,NA,990,466,602,77.4,8837,3566,159,193,82.4,257,304,84.5,44,75,58.7,1,1.3,1.5,12,30,15,5,52
Frauen-Bundesliga,2023-10-06,Frauen-Bundesliga (Matchweek 3),Wolfsburg,4-2-3-1,1,1.5,Fenna Kalma · 12&rsquor;,0,0,1. FC Nürnberg,3-4-1-2,0,0.3,NA,2,0,1. FC Nürnberg,Away,NA,990,202,327,61.8,3768,1803,82,107,76.6,102,134,76.1,18,71,25.4,0,0.3,0.4,3,11,2,0,20
Frauen-Bundesliga,2023-10-07,Frauen-Bundesliga (Matchweek 3),Köln,4-2-3-1,4,1.9,Sharon Beck · 29&rsquor; Martyna Wiankowska · 59&rsquor; Andrea Gavric · 69&rsquor; Martyna Wiankowska (P) · 78&rsquor;,2,0,MSV Duisburg,4-3-3,1,0.7,Yvonne Zielinski · 47&rsquor;,1,0,Köln,Home,NA,990,452,608,74.3,8118,3251,172,225,76.4,236,283,83.4,37,78,47.4,3,1,1.3,9,19,4,3,30
Frauen-Bundesliga,2023-10-07,Frauen-Bundesliga (Matchweek 3),Köln,4-2-3-1,4,1.9,Sharon Beck · 29&rsquor; Martyna Wiankowska · 59&rsquor; Andrea Gavric · 69&rsquor; Martyna Wiankowska (P) · 78&rsquor;,2,0,MSV Duisburg,4-3-3,1,0.7,Yvonne Zielinski · 47&rsquor;,1,0,MSV Duisburg,Away,NA,990,209,361,57.9,4454,2002,69,101,68.3,99,149,66.4,39,96,40.6,1,0.7,0.5,8,20,5,4,29
Frauen-Bundesliga,2023-10-07,Frauen-Bundesliga (Matchweek 3),Eintracht Frankfurt,4-3-3,3,3.7,Barbara Dunst · 71&rsquor; Laura Freigang (P) · 86&rsquor; Carlotta Wamser · 90+2&rsquor;,1,0,RB Leipzig,5-4-1,1,0.7,Lydia Andrade · 27&rsquor;,4,0,Eintracht Frankfurt,Home,NA,990,399,555,71.9,8050,2960,127,173,73.4,207,256,80.9,61,103,59.2,2,2.9,1.6,11,35,11,5,53
Frauen-Bundesliga,2023-10-07,Frauen-Bundesliga (Matchweek 3),Eintracht Frankfurt,4-3-3,3,3.7,Barbara Dunst · 71&rsquor; Laura Freigang (P) · 86&rsquor; Carlotta Wamser · 90+2&rsquor;,1,0,RB Leipzig,5-4-1,1,0.7,Lydia Andrade · 27&rsquor;,4,0,RB Leipzig,Away,NA,990,221,362,61,4021,2025,100,137,73,91,136,66.9,25,68,36.8,1,0.4,0.5,5,11,5,1,16
Frauen-Bundesliga,2023-10-08,Frauen-Bundesliga (Matchweek 3),Essen,4-2-3-1,0,0.2,NA,1,0,Bayern Munich,4-2-3-1,2,1.8,Pernille Harder · 13&rsquor; Lea Schüller · 24&rsquor;,4,0,Essen,Home,NA,990,255,355,71.8,4735,1848,92,107,86,138,163,84.7,23,67,34.3,0,0.1,0.1,2,9,0,0,18
Frauen-Bundesliga,2023-10-08,Frauen-Bundesliga (Matchweek 3),Essen,4-2-3-1,0,0.2,NA,1,0,Bayern Munich,4-2-3-1,2,1.8,Pernille Harder · 13&rsquor; Lea Schüller · 24&rsquor;,4,0,Bayern Munich,Away,NA,990,632,734,86.1,12092,4175,204,225,90.7,351,379,92.6,65,89,73,2,1.8,1.5,11,56,20,5,74
Frauen-Bundesliga,2023-10-08,Frauen-Bundesliga (Matchweek 3),Freiburg,4-2-3-1,2,0.6,Hanna Németh (OG) · 61&rsquor; Svenja Fölmli · 67&rsquor;,1,0,Werder Bremen,3-5-2,1,0.6,Sophie Weidauer · 25&rsquor;,3,0,Freiburg,Home,NA,990,277,409,67.7,5192,2452,111,139,79.9,131,173,75.7,32,77,41.6,1,0.5,0.7,12,17,5,3,24
Frauen-Bundesliga,2023-10-08,Frauen-Bundesliga (Matchweek 3),Freiburg,4-2-3-1,2,0.6,Hanna Németh (OG) · 61&rsquor; Svenja Fölmli · 67&rsquor;,1,0,Werder Bremen,3-5-2,1,0.6,Sophie Weidauer · 25&rsquor;,3,0,Werder Bremen,Away,NA,990,217,357,60.8,4204,2085,96,125,76.8,89,124,71.8,29,88,33,0,0.3,0.6,9,24,8,5,22
Frauen-Bundesliga,2023-10-09,Frauen-Bundesliga (Matchweek 3),Hoffenheim,4-3-3,2,2.3,Mara Alber · 74&rsquor; Ereleta Memeti · 78&rsquor;,1,0,Bayer Leverkusen,3-5-2,2,1.8,Karólína Lea Vilhjálmsdóttir · 34&rsquor; Kristin Kögel · 62&rsquor;,0,0,Hoffenheim,Home,NA,990,490,615,79.7,7923,2947,226,270,83.7,241,275,87.6,13,43,30.2,1,1.9,1.9,14,26,10,3,61
Frauen-Bundesliga,2023-10-09,Frauen-Bundesliga (Matchweek 3),Hoffenheim,4-3-3,2,2.3,Mara Alber · 74&rsquor; Ereleta Memeti · 78&rsquor;,1,0,Bayer Leverkusen,3-5-2,2,1.8,Karólína Lea Vilhjálmsdóttir · 34&rsquor; Kristin Kögel · 62&rsquor;,0,0,Bayer Leverkusen,Away,NA,990,221,341,64.8,3979,1910,101,124,81.5,88,127,69.3,28,70,40,1,0.7,0.2,8,14,4,1,22
Frauen-Bundesliga,2023-10-13,Frauen-Bundesliga (Matchweek 4),1. FC Nürnberg,3-4-1-2,0,0.2,NA,2,0,Hoffenheim,4-3-3,3,3.2,Jill Janssens · 24&rsquor; Jana Feldkamp (P) · 42&rsquor; Gia Corley · 72&rsquor;,0,0,1. FC Nürnberg,Home,NA,990,231,366,63.1,3603,1573,115,150,76.7,89,126,70.6,13,58,22.4,0,0,0.3,2,8,1,0,16
Frauen-Bundesliga,2023-10-13,Frauen-Bundesliga (Matchweek 4),1. FC Nürnberg,3-4-1-2,0,0.2,NA,2,0,Hoffenheim,4-3-3,3,3.2,Jill Janssens · 24&rsquor; Jana Feldkamp (P) · 42&rsquor; Gia Corley · 72&rsquor;,0,0,Hoffenheim,Away,NA,990,422,545,77.4,8562,3183,115,144,79.9,251,291,86.3,50,82,61,2,2.2,2.4,17,30,10,3,55
Frauen-Bundesliga,2023-10-14,Frauen-Bundesliga (Matchweek 4),Werder Bremen,3-5-2,3,1.6,Celina Degen (OG) · 32&rsquor; Lina Hausicke · 83&rsquor; Melina Kunkel · 90+3&rsquor;,0,0,Köln,4-2-3-1,0,0.2,NA,1,0,Werder Bremen,Home,NA,990,273,423,64.5,4989,2369,119,167,71.3,121,176,68.8,30,66,45.5,1,1,0.7,9,20,5,4,27
Frauen-Bundesliga,2023-10-14,Frauen-Bundesliga (Matchweek 4),Werder Bremen,3-5-2,3,1.6,Celina Degen (OG) · 32&rsquor; Lina Hausicke · 83&rsquor; Melina Kunkel · 90+3&rsquor;,0,0,Köln,4-2-3-1,0,0.2,NA,1,0,Köln,Away,NA,990,236,390,60.5,4435,1785,98,150,65.3,106,138,76.8,28,78,35.9,0,0.2,0.2,2,11,0,0,21
Frauen-Bundesliga,2023-10-14,Frauen-Bundesliga (Matchweek 4),Bayern Munich,4-2-3-1,0,0.7,NA,0,0,Eintracht Frankfurt,4-3-3,0,0.3,NA,1,0,Bayern Munich,Home,NA,990,495,597,82.9,10606,3627,135,151,89.4,276,306,90.2,81,122,66.4,0,0.6,0.8,12,43,9,1,43
Frauen-Bundesliga,2023-10-14,Frauen-Bundesliga (Matchweek 4),Bayern Munich,4-2-3-1,0,0.7,NA,0,0,Eintracht Frankfurt,4-3-3,0,0.3,NA,1,0,Eintracht Frankfurt,Away,NA,990,328,440,74.5,5916,2479,139,163,85.3,145,173,83.8,40,82,48.8,0,0.2,0.1,6,25,3,0,27
