matchId,matchDate,homeTeamId,homeTeamName,awayTeamId,awayTeamName,isFinished,homeGoals,awayGoals
3990199,2023-03-12 11:45:00+00:00,294858,Paris Saint Germain,1070036,Reims,True,4,0
3990206,2023-03-24 17:30:00+00:00,1169987,Le Havre,862902,Fleury Merogis U.S,True,1,1
3990203,2023-03-25 12:45:00+00:00,862896,Bordeaux,862893,Paris FC,True,0,0
3990204,2023-03-25 12:45:00+00:00,593381,Dijon Foot,628137,Rodez Aveyron,True,1,2
3990202,2023-03-25 12:45:00+00:00,1070036,Reims,628136,ASJ Soyaux,True,3,1
3990205,2023-03-25 14:00:00+00:00,394119,Lyon,597900,Guingamp,True,6,0
3990201,2023-03-26 15:15:00+00:00,606039,Montpellier,294858,Paris Saint Germain,True,0,1
3990216,2023-03-31 16:30:00+00:00,628137,Rodez Aveyron,1070036,Reims,True,1,2
3990207,2023-03-31 19:00:00+00:00,862893,Paris FC,597900,Guingamp,True,2,2
3990196,2023-04-01 11:45:00+00:00,862902,Fleury Merogis U.S,593381,Dijon Foot,True,1,0
3990209,2023-04-01 11:45:00+00:00,628136,ASJ Soyaux,606039,Montpellier,True,1,5
3990208,2023-04-02 10:45:00+00:00,294858,Paris Saint Germain,862896,Bordeaux,True,1,0
3990232,2023-04-02 10:45:00+00:00,1169987,Le Havre,394119,Lyon,True,0,7
3990230,2023-04-15 11:45:00+00:00,862896,Bordeaux,628136,ASJ Soyaux,True,3,0
3990226,2023-04-15 11:45:00+00:00,593381,Dijon Foot,1169987,Le Havre,True,0,2
3990227,2023-04-15 11:45:00+00:00,1070036,Reims,862902,Fleury Merogis U.S,True,1,3
3990231,2023-04-16 10:30:00+00:00,597900,Guingamp,294858,Paris Saint Germain,True,0,1
3990228,2023-04-16 13:00:00+00:00,628137,Rodez Aveyron,606039,Montpellier,True,2,3
3990229,2023-04-16 13:00:00+00:00,394119,Lyon,862893,Paris FC,True,2,0
3990222,2023-05-06 11:30:00+00:00,862902,Fleury Merogis U.S,606039,Montpellier,True,1,2
3990224,2023-05-06 11:30:00+00:00,628136,ASJ Soyaux,597900,Guingamp,True,1,2
3990223,2023-05-06 11:30:00+00:00,628137,Rodez Aveyron,862896,Bordeaux,True,1,1
3990221,2023-05-06 11:30:00+00:00,1169987,Le Havre,1070036,Reims,True,0,5
3990220,2023-05-06 11:30:00+00:00,593381,Dijon Foot,394119,Lyon,True,0,3
3990225,2023-05-07 13:00:00+00:00,294858,Paris Saint Germain,862893,Paris FC,True,0,0
3990235,2023-05-21 10:30:00+00:00,1070036,Reims,593381,Dijon Foot,True,3,1
3990234,2023-05-21 10:30:00+00:00,606039,Montpellier,1169987,Le Havre,True,2,1
3990233,2023-05-21 10:30:00+00:00,862896,Bordeaux,862902,Fleury Merogis U.S,True,1,1
3990218,2023-05-21 10:30:00+00:00,862893,Paris FC,628136,ASJ Soyaux,True,5,2
3990217,2023-05-21 10:30:00+00:00,597900,Guingamp,628137,Rodez Aveyron,True,2,1
3990219,2023-05-21 19:00:00+00:00,294858,Paris Saint Germain,394119,Lyon,True,0,1
3990239,2023-05-27 15:30:00+00:00,1169987,Le Havre,862896,Bordeaux,True,2,4
3990236,2023-05-27 15:30:00+00:00,628136,ASJ Soyaux,294858,Paris Saint Germain,True,0,3
3990238,2023-05-27 15:30:00+00:00,862902,Fleury Merogis U.S,597900,Guingamp,True,6,0
3990241,2023-05-27 15:30:00+00:00,394119,Lyon,1070036,Reims,True,7,1
3990237,2023-05-27 15:30:00+00:00,628137,Rodez Aveyron,862893,Paris FC,True,0,4
3990240,2023-05-27 15:30:00+00:00,593381,Dijon Foot,606039,Montpellier,True,2,1
4247546,2023-09-15 19:00:00+00:00,1169987,Le Havre,394119,Lyon,True,0,4
4247545,2023-09-16 13:00:00+00:00,1070036,Reims,612967,Saint-Etienne,True,2,0
4247544,2023-09-16 13:00:00+00:00,862894,Lille,862893,Paris FC,True,0,4
4247549,2023-09-16 13:00:00+00:00,606039,Montpellier,593381,Dijon Foot,True,2,0
4247548,2023-09-16 13:00:00+00:00,862902,Fleury Merogis U.S,597900,Guingamp,True,3,1
4247547,2023-09-17 19:00:00+00:00,862896,Bordeaux,294858,Paris Saint Germain,True,0,3
4247550,2023-09-29 19:00:00+00:00,862893,Paris FC,862902,Fleury Merogis U.S,True,3,1
4247551,2023-09-30 11:30:00+00:00,597900,Guingamp,1070036,Reims,True,0,0
4247554,2023-09-30 13:00:00+00:00,612967,Saint-Etienne,606039,Montpellier,True,1,1
4247552,2023-09-30 13:00:00+00:00,862896,Bordeaux,1169987,Le Havre,True,1,1
4247555,2023-09-30 13:00:00+00:00,593381,Dijon Foot,862894,Lille,True,3,3
4247553,2023-10-01 19:00:00+00:00,294858,Paris Saint Germain,394119,Lyon,True,0,1
4247585,2023-10-06 16:00:00+00:00,612967,Saint-Etienne,294858,Paris Saint Germain,True,0,1
4247556,2023-10-06 19:00:00+00:00,1169987,Le Havre,862893,Paris FC,True,1,4
4247583,2023-10-07 13:00:00+00:00,862894,Lille,862902,Fleury Merogis U.S,True,2,1
4247582,2023-10-07 13:00:00+00:00,606039,Montpellier,597900,Guingamp,True,3,1
4247557,2023-10-07 13:00:00+00:00,1070036,Reims,593381,Dijon Foot,True,1,0
4247584,2023-10-08 19:00:00+00:00,394119,Lyon,862896,Bordeaux,True,4,0
