"Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","PlayerURL","LeagueName","LeagueURL","StatType"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Caitlin Dijkstra","NED","DF","25",10.3,1,8,1,12.5,0.78,0.1,0.13,1,16.8,0,0,0,0.7,0.7,0.09,0.3,0.3,"https://fbref.com/en/players/29429b4b/Caitlin-Dijkstra","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Anneke Borbe","GER","GK","23",10,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/37469b31/Anneke-Borbe","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Joelle Wedemeyer","GER","DF","27",9.8,2,5,2,40,0.51,0.2,0.4,1,15.3,0,0,0,0.5,0.5,0.11,1.5,1.5,"https://fbref.com/en/players/2e03aaa7/Joelle-Wedemeyer","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Sveindís Jane Jónsdóttir","ISL","FW,DF","23",8.8,2,30,7,23.3,3.42,0.8,0.07,0.29,14.4,0,0,0,4.3,4.3,0.14,-2.3,-2.3,"https://fbref.com/en/players/ce6e8fa2/Sveindis-Jane-Jonsdottir","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Ella Inez Peddemors","NED","MF","21",5.9,1,10,2,20,1.69,0.34,0.1,0.5,19.7,0,0,0,0.9,0.9,0.09,0.1,0.1,"https://fbref.com/en/players/fc47f599/Ella-Inez-Peddemors","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Nuria Rábano","ESP","DF,MF","25",4.6,0,6,2,33.3,1.29,0.43,0,0,19.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3,"https://fbref.com/en/players/a5d0b32a/Nuria-Rabano","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Justine Kielland","NOR","MF","21",4.5,1,6,2,33.3,1.33,0.44,0.17,0.5,20.6,0,0,0,0.2,0.2,0.03,0.8,0.8,"https://fbref.com/en/players/b7fb0749/Justine-Kielland","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Diána Németh","HUN","DF,MF","19",1.7,0,1,0,0,0.57,0,0,NA,24.5,0,0,0,0,0,0.01,0,0,"https://fbref.com/en/players/09b94fe1/Diana-Nemeth","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Rebecka Blomqvist","SWE","FW,MF","27",3.9,1,11,5,45.5,2.8,1.27,0.09,0.2,14.8,0,0,0,2.8,2.8,0.26,-1.8,-1.8,"https://fbref.com/en/players/fdae87ec/Rebecka-Blomqvist","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Chantal Hagel","GER","MF","26",2.1,0,8,2,25,3.75,0.94,0,0,19.4,0,0,0,0.6,0.6,0.08,-0.6,-0.6,"https://fbref.com/en/players/1c2bbcc4/Chantal-Hagel","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Tabea Waßmuth","GER","FW,MF","27",1,0,3,0,0,2.87,0,0,NA,13.6,0,0,0,0.3,0.3,0.09,-0.3,-0.3,"https://fbref.com/en/players/277cdd4e/Tabea-Wassmuth","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Luca Papp","HUN","FW,MF","22",0.9,0,1,0,0,1.15,0,0,NA,21.4,0,0,0,0,0,0.04,0,0,"https://fbref.com/en/players/546ed9cc/Luca-Papp","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Fenna Kalma","NED","FW","24",0.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/89e0e515/Fenna-Kalma","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Kristin Demann","GER","MF","31",0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/6958ef5f/Kristin-Demann","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Eintracht Frankfurt","Frauen-Bundesliga","Stina Johannes","GER","GK","24",22,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/d8f1def3/Stina-Johannes","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Eintracht Frankfurt","Frauen-Bundesliga","Laura Freigang","GER","MF,FW","26",20.6,14,72,31,43.1,3.5,1.51,0.19,0.45,12,1,0,2,14.7,13.2,0.19,-0.7,0.8,"https://fbref.com/en/players/8898987d/Laura-Freigang","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Eintracht Frankfurt","Frauen-Bundesliga","Géraldine Reuteler","SUI","FW,MF","25",18.8,10,45,24,53.3,2.4,1.28,0.22,0.42,16.5,0,0,0,7.5,7.5,0.17,2.5,2.5,"https://fbref.com/en/players/f64daf84/Geraldine-Reuteler","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Eintracht Frankfurt","Frauen-Bundesliga","Lisanne Gräwe","GER","MF","22",17.9,1,30,7,23.3,1.68,0.39,0.03,0.14,25.9,0,0,0,2,2,0.07,-1,-1,"https://fbref.com/en/players/2e902693/Lisanne-Grawe","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Eintracht Frankfurt","Frauen-Bundesliga","Sophia Kleinherne","GER","DF","24",18.7,0,3,2,66.7,0.16,0.11,0,0,33.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,"https://fbref.com/en/players/843822a5/Sophia-Kleinherne","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Eintracht Frankfurt","Frauen-Bundesliga","Elisa Senß","GER","MF","26",17.4,3,29,8,27.6,1.66,0.46,0.1,0.38,18.8,0,0,0,2.7,2.7,0.09,0.3,0.3,"https://fbref.com/en/players/30bfca52/Elisa-Senss","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
