League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
Championnat de France de Football Féminin,2024-01-10,Championnat de France de Football Féminin (Regular season),Lyon,4-3-3,1,0.8,Ada Hegerberg · 84&rsquor;,1,0,Paris FC,4-2-3-1,0,0.2,NA,0,0,Paris FC,Away,NA,990,18,13,12,6,0,9,19,47.4,10,11,4,7,21,39,19,0
Championnat de France de Football Féminin,2024-01-17,Championnat de France de Football Féminin (Regular season),Paris Saint-Germain,4-1-4-1,4,4.8,Lieke Martens · 31&rsquor; Marie-Antoinette Katoto · 48&rsquor; Lieke Martens · 62&rsquor; Grace Geyoro · 90&rsquor;,1,0,Stade de Reims,5-4-1,0,0.1,NA,1,0,Paris Saint-Germain,Home,NA,990,22,16,2,15,5,10,14,71.4,4,9,0,9,4,26,2,0
Championnat de France de Football Féminin,2024-01-17,Championnat de France de Football Féminin (Regular season),Paris Saint-Germain,4-1-4-1,4,4.8,Lieke Martens · 31&rsquor; Marie-Antoinette Katoto · 48&rsquor; Lieke Martens · 62&rsquor; Grace Geyoro · 90&rsquor;,1,0,Stade de Reims,5-4-1,0,0.1,NA,1,0,Stade de Reims,Away,NA,990,21,15,14,7,0,2,11,18.2,9,11,6,5,13,34,30,1
Championnat de France de Football Féminin,2024-01-20,Championnat de France de Football Féminin (Regular season),Lille,4-2-3-1,2,1.5,Amandine Henry · 52&rsquor; Anaïs Ribeyra · 66&rsquor; Anaïs Ribeyra · 85&rsquor;,0,1,Dijon,4-2-3-1,2,1.4,Klaudia Jedlińska · 21&rsquor; Malou Rylov · 34&rsquor;,3,0,Lille,Home,NA,951,17,10,7,8,2,9,21,42.9,12,9,3,6,5,22,11,1
Championnat de France de Football Féminin,2024-01-20,Championnat de France de Football Féminin (Regular season),Lille,4-2-3-1,2,1.5,Amandine Henry · 52&rsquor; Anaïs Ribeyra · 66&rsquor; Anaïs Ribeyra · 85&rsquor;,0,1,Dijon,4-2-3-1,2,1.4,Klaudia Jedlińska · 21&rsquor; Malou Rylov · 34&rsquor;,3,0,Dijon,Away,NA,990,25,21,13,10,2,10,21,47.6,11,6,1,5,17,42,19,0
Championnat de France de Football Féminin,2024-01-20,Championnat de France de Football Féminin (Regular season),Stade de Reims,4-2-3-1,1,2.1,Mélissa Gomes (P) · 90&rsquor;,1,0,Guingamp,4-2-3-1,0,1,NA,3,0,Stade de Reims,Home,NA,990,22,16,9,6,7,8,15,53.3,7,23,4,19,13,35,19,1
Championnat de France de Football Féminin,2024-01-20,Championnat de France de Football Féminin (Regular season),Stade de Reims,4-2-3-1,1,2.1,Mélissa Gomes (P) · 90&rsquor;,1,0,Guingamp,4-2-3-1,0,1,NA,3,0,Guingamp,Away,NA,990,32,16,17,8,7,17,30,56.7,13,13,4,9,14,46,24,1
Championnat de France de Football Féminin,2024-01-20,Championnat de France de Football Féminin (Regular season),Paris Saint-Germain,4-3-3,8,7,Grace Geyoro (P) · 28&rsquor; Amalie Vangsgaard · 36&rsquor; Marie-Antoinette Katoto · 40&rsquor; Marie-Antoinette Katoto · 45+2&rsquor; Sandy Baltimore · 62&rsquor; Tabitha Chawinga · 71&rsquor; Amalie Vangsgaard · 84&rsquor; Tabitha Chawinga · 88&rsquor;,0,0,Bordeaux,4-3-3,1,0.9,Hawa Sangare · 72&rsquor;,0,0,Paris Saint-Germain,Home,NA,990,11,7,3,5,3,4,10,40,6,7,0,7,10,21,5,0
Championnat de France de Football Féminin,2024-01-20,Championnat de France de Football Féminin (Regular season),Paris Saint-Germain,4-3-3,8,7,Grace Geyoro (P) · 28&rsquor; Amalie Vangsgaard · 36&rsquor; Marie-Antoinette Katoto · 40&rsquor; Marie-Antoinette Katoto · 45+2&rsquor; Sandy Baltimore · 62&rsquor; Tabitha Chawinga · 71&rsquor; Amalie Vangsgaard · 84&rsquor; Tabitha Chawinga · 88&rsquor;,0,0,Bordeaux,4-3-3,1,0.9,Hawa Sangare · 72&rsquor;,0,0,Bordeaux,Away,NA,990,16,10,11,5,0,10,21,47.6,11,15,6,9,13,29,39,1
Championnat de France de Football Féminin,2024-01-21,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-1-4-1,1,1.2,Amandine Pierre-Louis · 29&rsquor;,2,0,Fleury,4-3-3,0,0.7,NA,0,0,Saint-Étienne,Home,NA,990,20,14,16,3,1,6,15,40,9,16,3,13,8,28,29,0
