League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
Frauen-Bundesliga,2024-05-05,Frauen-Bundesliga (Matchweek 20),Freiburg,4-2-3-1,0,0.7,NA,2,0,Essen,4-2-3-1,1,0.5,Ramona Maier · 64&rsquor;,3,0,Essen,Away,NA,990,30,23,16,10,4,6,11,54.5,5,23,4,19,13,43,22,0
Frauen-Bundesliga,2024-05-05,Frauen-Bundesliga (Matchweek 20),Werder Bremen,4-3-3,4,3.8,Rieke Dieckmann · 13&rsquor; Reena Wichmann · 29&rsquor; Reena Wichmann · 33&rsquor; Nina Lührßen (P) · 90+3&rsquor;,0,0,MSV Duisburg,4-4-2,2,0.9,Sarah Freutel · 76&rsquor; Jana Radosavljević · 90+4&rsquor;,2,0,Werder Bremen,Home,NA,990,10,4,3,5,2,1,6,16.7,5,11,1,10,9,19,6,1
Frauen-Bundesliga,2024-05-05,Frauen-Bundesliga (Matchweek 20),Werder Bremen,4-3-3,4,3.8,Rieke Dieckmann · 13&rsquor; Reena Wichmann · 29&rsquor; Reena Wichmann · 33&rsquor; Nina Lührßen (P) · 90+3&rsquor;,0,0,MSV Duisburg,4-4-2,2,0.9,Sarah Freutel · 76&rsquor; Jana Radosavljević · 90+4&rsquor;,2,0,MSV Duisburg,Away,NA,990,32,24,15,15,2,7,13,53.8,6,15,5,10,10,42,22,0
Frauen-Bundesliga,2024-05-06,Frauen-Bundesliga (Matchweek 20),1. FC Nürnberg,3-5-2,0,0.6,NA,2,0,RB Leipzig,4-2-3-1,1,2.1,Vanessa Fudalla (P) · 34&rsquor;,3,0,1. FC Nürnberg,Home,NA,990,22,19,11,9,2,3,8,37.5,5,16,5,11,8,30,17,0
Frauen-Bundesliga,2024-05-06,Frauen-Bundesliga (Matchweek 20),1. FC Nürnberg,3-5-2,0,0.6,NA,2,0,RB Leipzig,4-2-3-1,1,2.1,Vanessa Fudalla (P) · 34&rsquor;,3,0,RB Leipzig,Away,NA,990,20,9,8,8,4,7,14,50,7,10,1,9,6,26,20,0
Frauen-Bundesliga,2024-05-10,Frauen-Bundesliga (Matchweek 21),RB Leipzig,4-2-3-1,3,1.6,Vanessa Fudalla · 11&rsquor; Sandra Starke · 64&rsquor; Victoria Krug · 79&rsquor;,0,0,Hoffenheim,4-3-3,0,0.9,NA,2,0,RB Leipzig,Home,NA,990,29,16,12,13,4,15,26,57.7,11,6,2,4,11,40,16,0
Frauen-Bundesliga,2024-05-10,Frauen-Bundesliga (Matchweek 21),RB Leipzig,4-2-3-1,3,1.6,Vanessa Fudalla · 11&rsquor; Sandra Starke · 64&rsquor; Victoria Krug · 79&rsquor;,0,0,Hoffenheim,4-3-3,0,0.9,NA,2,0,Hoffenheim,Away,NA,990,11,8,3,5,3,4,11,36.4,7,16,3,13,19,30,9,0
Frauen-Bundesliga,2024-05-11,Frauen-Bundesliga (Matchweek 21),Essen,4-2-3-1,2,0.7,Lilli Purtscheller · 10&rsquor; Annalena Rieke · 30&rsquor;,2,0,Köln,4-2-3-1,1,0.9,Natalia Padilla-Bidas · 54&rsquor;,4,0,Essen,Home,NA,990,25,18,9,12,4,11,16,68.8,5,17,1,16,17,42,16,0
Frauen-Bundesliga,2024-05-11,Frauen-Bundesliga (Matchweek 21),Essen,4-2-3-1,2,0.7,Lilli Purtscheller · 10&rsquor; Annalena Rieke · 30&rsquor;,2,0,Köln,4-2-3-1,1,0.9,Natalia Padilla-Bidas · 54&rsquor;,4,0,Köln,Away,NA,990,31,23,16,13,2,11,25,44,14,16,2,14,10,41,14,0
Frauen-Bundesliga,2024-05-11,Frauen-Bundesliga (Matchweek 21),MSV Duisburg,4-4-2,1,0.5,Kara Bathmann · 71&rsquor;,0,0,Bayer Leverkusen,3-4-3,3,3.4,Loreen Bender · 20&rsquor; Nikola Karczewska · 34&rsquor; Synne Hansen · 76&rsquor;,0,0,MSV Duisburg,Home,NA,990,16,12,9,5,2,5,13,38.5,8,20,5,15,17,33,16,1
