match_id,season,competition,player_id,player_name,team,is_home,is_starter,age,position_id,usual_position_id,shirt_number,country,formation,rating,minutes_played,first_name,last_name,goals_in_match,assists_in_match,position_name
4829663,2025,2. Bundesliga,1081707,Erencan Yardimci,Eintracht Braunschweig,True,True,23.0,106,3,9,Turkiye,3-3-2-2,7.8,70,Erencan,Yardimci,1,0,Forward
4829663,2025,2. Bundesliga,831035,Pelle Boevink,Greuther Fürth,False,True,27.0,11,0,26,Netherlands,3-3-2-2,5.5,90,Pelle,Boevink,0,0,Goalkeeper
4829663,2025,2. Bundesliga,1281103,Maximilian Dietz,Greuther Fürth,False,True,23.0,33,1,33,USA,3-3-2-2,6.2,90,Maximilian,Dietz,0,0,Defender
4829663,2025,2. Bundesliga,276711,Philipp Ziereis,Greuther Fürth,False,True,32.0,35,1,4,Germany,3-3-2-2,6.1,90,Philipp,Ziereis,0,0,Defender
4829663,2025,2. Bundesliga,852424,Brynjar Ingi Bjarnason,Greuther Fürth,False,True,25.0,37,1,25,Iceland,3-3-2-2,6.7,86,Brynjar Ingi,Bjarnason,0,0,Defender
4829663,2025,2. Bundesliga,602300,Jannik Dehm,Greuther Fürth,False,True,29.0,53,1,23,Germany,3-3-2-2,7.1,90,Jannik,Dehm,0,0,Unknown
4829663,2025,2. Bundesliga,1089478,Mathias Olesen,Greuther Fürth,False,True,24.0,55,2,8,Luxembourg,3-3-2-2,6.5,85,Mathias,Olesen,0,0,Unknown
4829663,2025,2. Bundesliga,832736,Gian-Luca Itter,Greuther Fürth,False,True,26.0,57,1,27,Germany,3-3-2-2,6.6,74,Gian-Luca,Itter,0,0,Unknown
4829663,2025,2. Bundesliga,237541,Felix Klaus,Greuther Fürth,False,True,32.0,74,2,30,Germany,3-3-2-2,8.1,90,Felix,Klaus,1,0,Midfielder
4829663,2025,2. Bundesliga,461356,Julian Green,Greuther Fürth,False,True,30.0,76,2,37,USA,3-3-2-2,6.9,86,Julian,Green,0,0,Midfielder
4829663,2025,2. Bundesliga,258245,Branimir Hrgota,Greuther Fürth,False,True,32.0,104,2,10,Sweden,3-3-2-2,5.8,74,Branimir,Hrgota,0,0,Forward
4829663,2025,2. Bundesliga,1138725,Noel Futkeu,Greuther Fürth,False,True,22.0,106,3,9,Germany,3-3-2-2,6.9,90,Noel,Futkeu,0,1,Forward
