League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won_Aerial_Duels,Lost_Aerial_Duels,Won_percent_Aerial_Duels
Frauen-Bundesliga,2024-02-17,Frauen-Bundesliga (Matchweek 14),1. FC Nürnberg,5-3-2,1,0.7,Vanessa Haim · 12&rsquor;,4,0,Wolfsburg,4-3-3,9,5.3,Vivien Endemann · 7&rsquor; Alexandra Popp · 34&rsquor; Ewa Pajor · 36&rsquor; Alexandra Popp · 38&rsquor; Chantal Hagel · 52&rsquor; Ewa Pajor (P) · 71&rsquor; Ewa Pajor · 79&rsquor; Fenna Kalma · 81&rsquor; Ewa Pajor · 90+1&rsquor;,2,0,Wolfsburg,Away,NA,990,2,0,0,12,11,1,29,6,8,1,0,0,47,5,6,45.5
Frauen-Bundesliga,2024-02-17,Frauen-Bundesliga (Matchweek 14),Werder Bremen,3-5-2,0,0.6,NA,1,0,Freiburg,4-3-3,3,1.5,Samantha Steuerwald · 33&rsquor; Lisa Kolb · 35&rsquor; Eileen Campbell · 50&rsquor;,2,0,Werder Bremen,Home,NA,990,1,0,0,8,13,2,16,12,9,0,0,0,47,5,16,23.8
Frauen-Bundesliga,2024-02-17,Frauen-Bundesliga (Matchweek 14),Werder Bremen,3-5-2,0,0.6,NA,1,0,Freiburg,4-3-3,3,1.5,Samantha Steuerwald · 33&rsquor; Lisa Kolb · 35&rsquor; Eileen Campbell · 50&rsquor;,2,0,Freiburg,Away,NA,990,2,0,0,13,8,3,15,16,9,0,0,0,36,16,5,76.2
Frauen-Bundesliga,2024-02-18,Frauen-Bundesliga (Matchweek 14),Bayer Leverkusen,3-4-3,1,0.7,Nikola Karczewska · 38&rsquor;,0,0,Hoffenheim,4-2-3-1,2,1.1,Sylwia Matysik (OG) · 1&rsquor; Fabienne Dongus · 75&rsquor;,3,0,Bayer Leverkusen,Home,NA,990,0,0,0,4,13,0,19,13,11,0,0,1,70,6,11,35.3
Frauen-Bundesliga,2024-02-18,Frauen-Bundesliga (Matchweek 14),Bayer Leverkusen,3-4-3,1,0.7,Nikola Karczewska · 38&rsquor;,0,0,Hoffenheim,4-2-3-1,2,1.1,Sylwia Matysik (OG) · 1&rsquor; Fabienne Dongus · 75&rsquor;,3,0,Hoffenheim,Away,NA,990,3,0,0,13,4,0,13,18,13,0,0,0,59,11,6,64.7
Frauen-Bundesliga,2024-02-18,Frauen-Bundesliga (Matchweek 14),Bayern Munich,4-2-3-1,2,2.6,Glódís Perla Viggósdóttir · 54&rsquor; Jovana Damnjanović · 79&rsquor;,0,0,Essen,4-3-3,0,0.4,NA,1,0,Bayern Munich,Home,NA,990,0,0,0,10,9,3,16,8,20,0,0,0,59,4,8,33.3
Frauen-Bundesliga,2024-02-18,Frauen-Bundesliga (Matchweek 14),Bayern Munich,4-2-3-1,2,2.6,Glódís Perla Viggósdóttir · 54&rsquor; Jovana Damnjanović · 79&rsquor;,0,0,Essen,4-3-3,0,0.4,NA,1,0,Essen,Away,NA,990,1,0,0,10,10,4,23,14,20,0,0,0,59,8,4,66.7
Frauen-Bundesliga,2024-02-18,Frauen-Bundesliga (Matchweek 14),MSV Duisburg,4-4-2,0,0.1,NA,1,0,Köln,4-2-3-1,0,1.3,NA,2,0,MSV Duisburg,Home,NA,990,1,0,0,14,11,3,19,25,16,0,0,0,59,8,5,61.5
Frauen-Bundesliga,2024-02-18,Frauen-Bundesliga (Matchweek 14),MSV Duisburg,4-4-2,0,0.1,NA,1,0,Köln,4-2-3-1,0,1.3,NA,2,0,Köln,Away,NA,990,2,0,0,11,14,0,18,13,14,0,0,0,65,5,8,38.5
Frauen-Bundesliga,2024-03-08,Frauen-Bundesliga (Matchweek 15),Essen,3-5-2,4,2.3,Natasha Kowalski (P) · 24&rsquor; Beke Sterner · 57&rsquor; Ramona Maier · 72&rsquor; Annika Enderle · 90+2&rsquor;,1,0,MSV Duisburg,4-3-3,1,0.9,Natalie Muth · 76&rsquor;,1,0,Essen,Home,NA,990,1,0,0,9,10,1,23,11,11,1,0,0,52,6,3,66.7
Frauen-Bundesliga,2024-03-08,Frauen-Bundesliga (Matchweek 15),Essen,3-5-2,4,2.3,Natasha Kowalski (P) · 24&rsquor; Beke Sterner · 57&rsquor; Ramona Maier · 72&rsquor; Annika Enderle · 90+2&rsquor;,1,0,MSV Duisburg,4-3-3,1,0.9,Natalie Muth · 76&rsquor;,1,0,MSV Duisburg,Away,NA,990,1,0,0,10,9,1,17,18,19,0,1,0,53,3,6,33.3
Frauen-Bundesliga,2024-03-09,Frauen-Bundesliga (Matchweek 15),Eintracht Frankfurt,4-3-1-2,1,1.5,Laura Freigang · 67&rsquor;,1,0,Bayern Munich,4-2-3-1,2,1.3,Klara Bühl · 21&rsquor; Lea Schüller · 77&rsquor;,1,0,Eintracht Frankfurt,Home,NA,990,1,0,0,6,7,0,24,12,15,0,0,0,50,7,8,46.7
Frauen-Bundesliga,2024-03-09,Frauen-Bundesliga (Matchweek 15),Eintracht Frankfurt,4-3-1-2,1,1.5,Laura Freigang · 67&rsquor;,1,0,Bayern Munich,4-2-3-1,2,1.3,Klara Bühl · 21&rsquor; Lea Schüller · 77&rsquor;,1,0,Bayern Munich,Away,NA,990,1,0,0,8,6,4,13,14,20,0,0,0,60,8,7,53.3
Frauen-Bundesliga,2024-03-09,Frauen-Bundesliga (Matchweek 15),Hoffenheim,4-3-3,2,2.2,Mara Alber · 14&rsquor; Mara Alber · 39&rsquor;,1,0,1. FC Nürnberg,5-3-2,0,0.7,NA,1,0,Hoffenheim,Home,NA,990,1,0,0,14,11,3,29,1,13,0,0,0,51,8,5,61.5
Frauen-Bundesliga,2024-03-09,Frauen-Bundesliga (Matchweek 15),Hoffenheim,4-3-3,2,2.2,Mara Alber · 14&rsquor; Mara Alber · 39&rsquor;,1,0,1. FC Nürnberg,5-3-2,0,0.7,NA,1,0,1. FC Nürnberg,Away,NA,990,1,0,0,11,14,2,10,4,10,0,0,0,46,5,8,38.5
Frauen-Bundesliga,2024-03-10,Frauen-Bundesliga (Matchweek 15),Köln,4-2-3-1,2,2.5,Marleen Schimmer (P) · 32&rsquor; Carlotta Wamser · 81&rsquor;,1,0,Werder Bremen,4-4-2,1,2.4,Jasmin Sehan · 76&rsquor;,3,0,Köln,Home,NA,990,1,0,0,8,23,2,17,14,12,1,0,0,48,20,8,71.4
Frauen-Bundesliga,2024-03-10,Frauen-Bundesliga (Matchweek 15),Köln,4-2-3-1,2,2.5,Marleen Schimmer (P) · 32&rsquor; Carlotta Wamser · 81&rsquor;,1,0,Werder Bremen,4-4-2,1,2.4,Jasmin Sehan · 76&rsquor;,3,0,Werder Bremen,Away,NA,990,3,0,0,23,8,0,30,9,23,0,1,0,50,8,20,28.6
Frauen-Bundesliga,2024-03-10,Frauen-Bundesliga (Matchweek 15),Freiburg,4-3-3,0,0.7,NA,1,0,Bayer Leverkusen,3-4-3,0,0.7,NA,0,0,Freiburg,Home,NA,990,1,0,0,7,7,4,26,16,15,0,0,0,80,7,11,38.9
Frauen-Bundesliga,2024-03-10,Frauen-Bundesliga (Matchweek 15),Freiburg,4-3-3,0,0.7,NA,1,0,Bayer Leverkusen,3-4-3,0,0.7,NA,0,0,Bayer Leverkusen,Away,NA,990,0,0,0,7,6,3,12,21,20,0,0,0,62,10,7,58.8
Frauen-Bundesliga,2024-03-11,Frauen-Bundesliga (Matchweek 15),Wolfsburg,4-3-3,4,3.9,Marina Hegering · 24&rsquor; Jule Brand · 40&rsquor; Sveindís Jane Jónsdóttir · 56&rsquor; Jule Brand · 89&rsquor;,1,0,RB Leipzig,4-4-2,0,0.2,NA,1,0,Wolfsburg,Home,NA,990,1,0,0,7,8,5,18,15,16,0,0,0,71,12,5,70.6
Frauen-Bundesliga,2024-03-11,Frauen-Bundesliga (Matchweek 15),Wolfsburg,4-3-3,4,3.9,Marina Hegering · 24&rsquor; Jule Brand · 40&rsquor; Sveindís Jane Jónsdóttir · 56&rsquor; Jule Brand · 89&rsquor;,1,0,RB Leipzig,4-4-2,0,0.2,NA,1,0,RB Leipzig,Away,NA,990,1,0,0,11,7,1,13,10,15,0,0,0,61,5,12,29.4
Frauen-Bundesliga,2024-03-15,Frauen-Bundesliga (Matchweek 16),Hoffenheim,4-2-3-1,2,1.1,Paulina Krumbiegel · 21&rsquor; Michaela Specht (P) · 70&rsquor; Franziska Harsch · 77&rsquor;,4,1,Wolfsburg,4-3-3,1,2.5,Jule Brand · 88&rsquor;,3,0,Hoffenheim,Home,NA,976,3,1,1,12,14,2,7,9,11,0,0,0,46,13,30,30.2
